smiles_id,smiles
NPC155873,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@@H](C=CC2=O)OC(=O)C)/CCC(=O)C(=C)C
NPC153570,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@@H](C=CC2=O)OC(=O)C)/C/C=C/C(O)(C)C
NPC219966,COC(=O)C[C@]1(C[C@H](O)C=CC1=O)[C@@H](/C=C(/CCC=C(C)C)\C)O
NPC163615,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@@H](C=CC2=O)OC(=O)C)/CCC=C(C)C
NPC87306,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@H](O)C=CC2=O)/CCC=C(C)C
NPC90150,CC(=CC(=O)N([C@@H]1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](N(C)C)C)C)C)C)C
NPC268763,CC(=CCN1CC[C@]2([C@@H]([C@@H]1Cc1c2cc(cc1)O)C)C)C
NPC40432,COc1cc(ccc1O)[C@@H]1OC[C@@H]2[C@H]1CO[C@H]2c1ccc(c(c1)OC)O
NPC283331,C=CC(c1cc2cc3C[C@H](Oc3cc2oc1=O)C(OC(=O)C)(C)C)(C)C
NPC85488,OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O
NPC113680,OC[C@H]1O[C@@H](OC[C@H]([C@H](Cc2ccc(c(c2)OC)O)CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)Cc2ccc(c(c2)OC)O)[C@@H]([C@H]([C@@H]1O)O)O
NPC87725,OC/C=C/c1cc2c(c(c1)OC)O[C@@H]([C@H]2CO)c1cc(OC)c(c(c1)OC)O
NPC473962,CN([C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@]1(C2)N(C)C(=O)c2c1cccc2)C)C
NPC2413,COc1cc2CCN3[C@@H](c2cc1O)Cc1c(C3)c(OC)c(cc1)O
NPC246162,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](C(=O)c2c(c1)O)O
NPC471286,O[C@@H]1[C@@H]2[C@H](OC1(C)C)Oc1c2c(O)c(cc1)C(=O)/C=C/c1ccccc1
NPC82920,CC(=O)C1=C(O)C=C2[C@@](C1=O)(C)c1c(O)c(C)c(c(c1O2)C(=O)C)O
NPC215451,COc1cc(OC)c2c(c1)C(=O)C1=C(C2=O)[C@@H](C)O[C@H](C1)C
NPC6702,Oc1ccc(cc1)[C@@H]1Oc2c([C@@H]1c1cc(O)cc3c1[C@H](c1cc(O)cc(c1)O)[C@H](O3)c1ccc(cc1)O)cc(cc2)/C=C/c1cc(O)cc2c1[C@H](c1cc(O)cc(c1)O)[C@H](O2)c1ccc(cc1)O
NPC54321,COc1cc(cc(c1OC)OC)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1cc(OC)c(c(c1)OC)OC
NPC110699,COc1cc(ccc1O)C[C@H]([C@@H](Cc1ccc(c(c1)OC)O)COC(=O)/C=C/c1ccc(c(c1)OC)O)COC(=O)/C=C/c1ccc(c(c1)OC)O
NPC316769,COC(C(Cc1c(O)cc(c(c1O)C(=O)/C=C/c1ccc(cc1)O)OC)O)(C)C
NPC470550,OC(=N)CC1C(=Nc2c1cccc2)O
NPC476254,CCCCCc1cc2OC(C)(CCC(C(=C)C)O)C=Cc2c(c1)O
NPC476171,CCCCCc1cc(O)c2c(c1OC(=O)C)OC(C=C2)(C)CCC=C(C)C
NPC253883,COc1ccc2c(c1)c1cc(OC)c(cc1c1c2CN2CCCC2C1)OC
NPC474444,O=C/C=C/c1cc2c(c(c1)OC)OC(C2CO)c1ccc(c(c1)OC)O
NPC328102,CC(=CCc1c2OC(Cc2c2c(c1O)c(=O)c(co2)c1ccc(c(c1)O)O)C(O)(C)C)C
NPC76372,CC(=CCc1c(O)cc(c2c1OC(CC2=O)c1ccccc1)O)C
NPC324436,CC(=CCc1c(O)cc(c2c1OC(CC2=O)c1ccc(cc1O)O)O)C
NPC324233,CC(=CCc1c(O)c(CC(C(=C)C)O)c2c(c1O)c(=O)c(co2)c1ccc(c(c1)O)O)C
NPC45124,Oc1cc(O)cc(c1)c1oc2c(c1)cc1c(c2)OC(C(C1)O)(C)C
NPC48564,CN1CCCC1c1cccnc1
NPC326316,COc1cc2CCN(C3c2c(c1OC)c1ccccc1C3)C
NPC49173,OC(=O)C[C@H]1CCC(=O)[C@@H]1C/C=C\CCO[C@@H]1O[C@H](COC(=O)c2cc(O)c(c(c2)O)O)[C@H]([C@@H]([C@H]1O)O)O
NPC177281,CC(CC(=O)OC1C(OC(=O)C)c2c(OC1(C)C)ccc1c2oc(=O)cc1)C
NPC475055,CC1Cc2c(O1)c(O)c1c(c2O)C(=O)C=C2[C@]1(C)CCC(=C2C)C
NPC215030,C[C@@H]1C(=O)C[C@@H]2[C@H]1[C@H]1OC(=O)[C@H]([C@@H]1CC[C@@]2(C)O)C
NPC32922,C[C@@H]1C(=O)O[C@H]2[C@H]1CC[C@@]([C@H]1C2=C(C)C(=O)C1)(C)O
NPC6095,CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O
NPC88966,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O
NPC249797,COc1cc2CCN3[C@@H](c2cc1O)Cc1c(C3)c(O)c(cc1)OC
NPC318552,Oc1ccc2c(c1)CCC1C2CC[C@]2(C1CCC2=O)C
NPC179261,OC[C@H]1O[C@@H](O[C@H]2[C@H](C)O[C@H]([C@@H]([C@@H]2O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)O)O[C@H]2CC[C@]3(C(=C2)CC[C@@H]2[C@@H]3CC[C@]3([C@]2(O)CC[C@@H]3c2ccc(=O)oc2)C)C)[C@@H]([C@H]([C@@H]1O)O)O
NPC124289,CC(=C1C[C@H]2[C@H]([C@@](CC1=O)(C)O)CC[C@@]2(C)O)C
NPC185547,O[C@H]1C[C@]2(C)C[C@H]3[C@@]([C@H]2C[C@H]1C(O)(C)C)(C3)C
NPC128608,O=C1C[C@]2(C)C[C@H]3[C@@]([C@H]2C[C@H]1C(O)(C)C)(C3)C
NPC130193,O/C(=C\C(=O)/C=C/c1ccc(cc1)O)/C=C/c1ccc(cc1)O
NPC160900,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(c(c2)OC)O)ccc1O
NPC292758,O[C@H](c1ccccc1)C[C@H]1CCC[C@@H](N1C)C[C@H](c1ccccc1)O
NPC65855,O[C@H](c1ccccc1)C[C@@H]1CCC[C@@H](N1C)C[C@H](c1ccccc1)O
NPC194326,O=C1CC[C@@](C=C1)(O)C/C=C/c1ccccc1
NPC114144,COc1ccccc1/C=C/C[C@]1(O)CCC(=O)C=C1
NPC212207,CC(=O)C[C@@]1(O)C(=O)C2=C(c3c1c1CCCC(c1cc3)(C)C)OC[C@@H]2C
NPC309056,CC(=O)C[C@@]1(O)C(=O)C2=C(c3c1c1cccc(c1cc3)C)OC[C@@H]2C
NPC135961,OC[C@H]([C@@H](c1ccc(c(c1)OC)OC)O)O
NPC294883,OC[C@@H]1[C@@H](O)[C@@H]([C@@H]2N1CC[C@@H]2O)O
NPC101307,C=C[C@](CC[C@H]1[C@](C)(O)CC[C@@H]2[C@]1(C)CCCC2(C)C)(O)C
NPC201048,OC/C=C(/CC[C@H]1[C@](C)(O)CC[C@@H]2[C@]1(C)CCCC2(C)C)\C
NPC181969,COc1cc(ccc1O)[C@H]([C@@H](O)C)O
