smiles_id,smiles
NPC164802,c1ccc2c(c1)CN1CCCC1=N2
NPC230942,CN=C(O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
NPC8235,Cc1ccc(C)cc1
NPC287876,Oc1nc(O)c2nc[nH]c2n1
NPC59692,OC[C@H]1O[C@@H](Oc2cc(O)cc([C@H]3c4cc(/C=C/c5cc(O)cc(O)c5)ccc4O[C@@H]3c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
NPC166287,O=C(O)CCCC[C@@H]1CCSS1
NPC204251,C=CCSS/C=C/C[S+]([O-])CC=C
NPC21429,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12
NPC471593,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1
NPC299590,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O
NPC142339,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O
NPC472398,CCC(C)C(=O)O[C@@]12[C@H](OC(=O)c3ccccc3)[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C
NPC119036,CCCCCCCCCCCCCCCCCC(=O)O[C@H]1C[C@@H](O)[C@]2(C)[C@H]3CC[C@@H]4[C@@H]([C@@](C)(O)CCC=C(C)C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C
NPC13879,O=c1c2c(O)cc(O)cc2oc2oc3cc(O)ccc3c12
NPC82016,COc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1
NPC166884,COc1cc([C@H]2O[C@@H](c3cc(OC)c4c(c3)OCO4)[C@@H](CO)[C@@H]2COC(C)=O)cc2c1OCO2
NPC48342,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
NPC228343,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
NPC328102,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)CC(C(C)(C)O)O2
NPC26244,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
NPC95716,C=Cc1cc(O)cc2c1-c1ccc(O)c(C)c1CC2
NPC218866,O=C1c2c(O)cccc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21
NPC110136,OC(=NC1CCCCC1)NC1CCCCC1
NPC199463,COc1cc2c(c(OC)c1OC)C(=O)c1c(cc(C)c(O)c1OC)C2=O
NPC238419,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
NPC9099,O=C1C[C@H](C(=O)O)c2c1oc(=O)c1cc(O)c(O)c(O)c21
NPC473202,COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(OC)c(C(C)=O)c(O[C@H]3OC[C@@](O)(CO)[C@@H]3O)cc2c1
NPC254847,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O
NPC259182,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
NPC46958,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O
NPC66777,COc1ccc2c(=O)n3c(nc2c1)-c1[nH]c2ccccc2c1CC3
NPC169749,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
NPC245896,c1cc2ccc3cccc4ccc(c1)c2c34
NPC123948,COc1cc(/C=C/c2ccc(OC)c(OC)c2)cc(OC)c1
NPC117032,CN1C2=C3N=c4ccccc4=C3CCN2C(=O)c2ccccc21
NPC302950,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
NPC160951,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O
NPC135601,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)[C@@H]21
NPC78540,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
NPC74539,COc1c2ccoc2cc2oc(=O)ccc12
NPC300020,C[C@H]1NCCc2cc(O)c(O)cc21
NPC11173,O=C1/C(=C/c2ccc(Cl)cc2)Oc2ccccc21
NPC50063,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
NPC160193,COc1cc2c(cc1OC)CN(C)CC2
NPC161571,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
NPC470019,COc1cc2c3c(c1)C(=O)c1ccccc1C3=NCC2
NPC262635,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1
NPC193536,NCCCCNCCCN
NPC112224,N[C@H](C(=O)O)[C@H](O)C(=O)O
NPC188341,CCCCCCCC/C=C\CCCCCCCC(=N)O
NPC473206,c1ccc2c(c1)[I+]c1ccccc1-2
NPC92111,COc1ccc2[nH]cc(CCN(C)C)c2c1
NPC149300,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
NPC50511,c1coc(CNc2nc[nH]c3ncnc2-3)c1
NPC255817,O=C(/C=C\C=C/c1ccc2c(c1)OCO2)N1CCCCC1
NPC146373,c1cncc([C@@H]2CCCCN2)c1
NPC34864,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1
NPC256853,CS(C)(=O)=O
NPC167546,COc1cc2c(cc1OC)-c1c3c(cc4c1[C@@H](C2)N(C)CC4)OCO3
NPC63545,c1ccc2c(c1)[nH]c1cnccc12
NPC102843,CC(=O)O[C@H]1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)C[C@@]23O[C@]2(C)C[C@@H](O)CC3(C)C)[C@](C)(O)C1
NPC135639,O=c1cccc2n1C[C@H]1C[C@H]2CN2CCCC[C@H]12
NPC294548,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
NPC255566,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2ccc3c(c2)OCO3)cc(OC)c1O
NPC82337,CC(C)(O)C1=C[C@@H](O)[C@@](C)(O)CC1
NPC33728,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccccc2)cc1O
NPC213603,COc1ccc(C(C)C(=O)c2ccc(O)cc2O)cc1
NPC106944,OC[C@H]1O[C@@H](Oc2ccc(CCCC[C@H](O)CCc3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)c3)cc2O)[C@H](O)[C@@H](O)[C@@H]1O
NPC307435,C/C=C\CC/C=C/C=C/C(O)=NCC(C)C
NPC292792,C=CCc1ccc(OC)c(OC)c1
NPC181209,COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1O
NPC169591,COc1cc2c(cc1CC=C(C)C)C(=O)C[C@@H](c1ccc(O)cc1)O2
NPC288089,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O
NPC222078,CCCCC(CC)COCCCN
NPC220140,C=CCSSSCC=C
NPC209666,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4
NPC299990,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C
NPC321184,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)[C@@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@H](OCCc2ccc(O)cc2)O[C@@H]1CO
NPC261831,CCCCCCCC/C=C\CCCCCCCC(=O)O
NPC302426,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC(=O)C3=C(C)CC[C@@H]12
NPC51700,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12
NPC287152,COc1cc(=O)n(C)c2c3c(ccc12)OCO3
NPC474926,CCC1(c2ccc(N)cc2)CCC(O)=NC1=O
NPC54123,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
NPC314329,O=C1CC(c2ccccc2)Oc2ccccc21
NPC138299,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12
NPC193881,COc1c2ccoc2c(OC/C=C(\C)CCC=C(C)C)c2oc(=O)ccc12
NPC104222,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
NPC131568,C=C(C)[C@H](CCC(C)(C)O)Cc1c(O)cc(O)c2c1O[C@H](c1ccccc1O)CC2=O
NPC4154,Oc1cc(O)cc(O)c1
NPC237202,O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21
NPC261619,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2
NPC214289,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1
NPC120671,CN1CCc2cc3c(cc2[C@@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3
NPC273330,N[C@H](CCC(=O)O)C(=O)O
NPC34770,COc1ccc2c(OC)c3ccoc3nc2c1OC
NPC150048,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12
NPC172937,Cc1cc2nc3c(O)nc(=O)nc-3n(C[C@@H](O)[C@@H](O)[C@@H](O)CO)c2cc1C
NPC146422,NCCc1ccc(O)c(O)c1
NPC193578,Cc1ccc2cc(C)ccc2c1
NPC244738,S=C=NCCc1ccccc1
NPC155882,O=c1ccc2c(O)c3ccoc3cc2o1
NPC79202,Cc1coc2c1CC[C@@H](C)C2
NPC42372,O=Cc1c[nH]c2ccccc12
NPC18259,Clc1ccc(Cl)cc1
NPC57051,CN(C)c1ccc(C=O)cc1
NPC291066,c1ccc2ccccc2c1
NPC213570,Cc1cccc2c(C)cccc12
NPC142415,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
NPC95034,CC(C)=CCC/C(=C/CC/C(C)=C/CC[C@]1(C)C=Cc2cc(O)cc(C)c2O1)C(=O)O
NPC2634,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
NPC197239,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
NPC116961,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
NPC280026,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
NPC38350,CC(C)=CCC[C@H](C(=O)O)[C@H]1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@H]1CC3
NPC43300,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
NPC110496,CC1(C)CCC[C@]2(C)[C@H]3C[C@@H](O)[C@]4(C)[C@H]5COC(=O)C5=CC[C@H]4[C@]3(C)CC[C@@H]12
NPC201662,CCCCCc1cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c1
NPC97525,CC(C)=CCC[C@]1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1Cc3c([nH]c4ccccc34)[C@@]12C
